col0,col1,col2,col3,col4,col5
Whisper of the Heart,Seiji Amasawa,drama anime and manga,Yoshifumi Kondō,Shigeru Muroi,Japan
The Wind Rises,Jiro Horikoshi,drama film,Hayao Miyazaki,Shinobu Ōtake,Japan
Whisper of the Heart,Seiji Amasawa,drama anime and manga,Yoshifumi Kondō,Yōko Honna,Japan
The Wind Rises,Jiro Horikoshi,drama film,Hayao Miyazaki,Mansai Nomura II,Japan
Whisper of the Heart,Seiji Amasawa,drama anime and manga,Yoshifumi Kondō,Mayumi Iizuka,Japan
The Wind Rises,Jiro Horikoshi,drama film,Hayao Miyazaki,Hideaki Anno,Japan
Nausicaä of the Valley of the Wind,Nausicaä,adventure anime and manga,Hayao Miyazaki,Rihoko Yoshida,Japan
The Disappearance of Haruhi Suzumiya,Kyon,mystery anime and manga,Yasuhiro Takemoto,Wendee Lee,Japan
Nausicaä of the Valley of the Wind,Nausicaä,adventure anime and manga,Hayao Miyazaki,Jōji Yanami,Japan
The Disappearance of Haruhi Suzumiya,Kyon,mystery anime and manga,Yasuhiro Takemoto,Johnny Yong Bosch,Japan
Nausicaä of the Valley of the Wind,Nausicaä,adventure anime and manga,Hayao Miyazaki,Ichirō Nagai,Japan
The Disappearance of Haruhi Suzumiya,Kyon,mystery anime and manga,Yasuhiro Takemoto,Crispin Freeman,Japan
