col0,col1,col2,col3
2017–18 SIU Edwardsville Cougars men's basketball team,Vadalabene Center,2016–17 SIU Edwardsville Cougars men's basketball team,United States of America
2017–18 Radford Highlanders men's basketball team,Dedmon Center,2016–17 Radford Highlanders men's basketball team,United States of America
2017–18 Oral Roberts Golden Eagles men's basketball team,Mabee Center,2016–17 Oral Roberts Golden Eagles men's basketball team,United States of America
2017–18 Omaha Mavericks men's basketball team,Baxter Arena,2016–17 Omaha Mavericks men's basketball team,United States of America
2017–18 Old Dominion Lady Monarchs basketball team,Ted Constant Convocation Center,2016–17 Old Dominion Monarchs basketball team,United States of America
2017–18 Northern Kentucky Norse men's basketball team,BB&T Arena,2016–17 Northern Kentucky Norse men's basketball team,United States of America
2017–18 Long Beach State 49ers men's basketball team,Walter Pyramid,2016–17 Long Beach State 49ers men's basketball team,United States of America
2017–18 Cal Poly Mustangs men's basketball team,Mott Gym,2016–17 Cal Poly Mustangs men's basketball team,United States of America
2017–18 West Virginia Mountaineers men's basketball team,WVU Coliseum,2016–17 West Virginia Mountaineers women's basketball team,United States of America
2017–18 Western Kentucky Hilltoppers basketball team,E. A. Diddle Arena,2016–17 WKU Lady Toppers basketball team,United States of America
2017–18 Virginia Tech Hokies men's basketball team,Cassell Coliseum,2016–17 Virginia Tech Hokies women's basketball team,United States of America
2017–18 Tulsa Golden Hurricane men's basketball team,Reynolds Center,2016–17 Tulsa Golden Hurricane women's basketball team,United States of America
2017–18 Texas Longhorns men's basketball team,Frank Erwin Center,2016–17 Texas Longhorns women's basketball team,United States of America
2017–18 St. John's Red Storm men's basketball team,Carnesecca Arena,2016–17 St. John's Red Storm women's basketball team,United States of America
