col0,col1,col2,col3
Pedersöre-Gåsmossbacken 2,registered archaeological site in Finland,Bronze Age,Pedersöre
Pedersöre-Grävlandsbacken,registered archaeological site in Finland,Bronze Age,Pedersöre
Esse-Holmmossen E,registered archaeological site in Finland,Bronze Age,Pedersöre
Purmo-Mellansnåret,registered archaeological site in Finland,Bronze Age,Pedersöre
Pedersöre-Hundraberget II,registered archaeological site in Finland,Bronze Age,Pedersöre
Purmo-Kåtabacken,registered archaeological site in Finland,Bronze Age,Pedersöre
Esse-Bolimbacka,registered archaeological site in Finland,Bronze Age,Pedersöre
Esse-Kalikbacken,registered archaeological site in Finland,Bronze Age,Pedersöre
Esse-Krakabacka,registered archaeological site in Finland,Bronze Age,Pedersöre
Esse-Blökolandet S,registered archaeological site in Finland,Bronze Age,Pedersöre
Esse-Blökolandet N,registered archaeological site in Finland,Bronze Age,Pedersöre
Esse-Storbäcksbacken,registered archaeological site in Finland,Stone Age,Pedersöre
Karimaa 1. ryhmä,registered archaeological site in Finland,Bronze Age,Pori
Rainiola 3. ryhmä,registered archaeological site in Finland,Bronze Age,Pori
