col0,col1,col2,col3,col4
2013–14 Club Joventut Badalona season,2014–15 Club Joventut Badalona season,basketball,Club Joventut Badalona,Salva Maldonado
2014–15 Club Joventut Badalona season,2015–16 Club Joventut Badalona season,basketball,Club Joventut Badalona,Salva Maldonado
1969–70 Club Joventut Badalona season,1970–71 Club Joventut Badalona season,basketball,Club Joventut Badalona,José Lluís
1970–71 Club Joventut Badalona season,1971–72 Club Joventut Badalona season,basketball,Club Joventut Badalona,José Lluís
1971–72 Club Joventut Badalona season,1972–73 Club Joventut Badalona season,basketball,Club Joventut Badalona,José Lluís
1973–74 Club Joventut Badalona season,1974–75 Club Joventut Badalona season,basketball,Club Joventut Badalona,José Lluís
1974–75 Club Joventut Badalona season,1975–76 Club Joventut Badalona season,basketball,Club Joventut Badalona,José Lluís
2003–04 Club Joventut Badalona season,2004–05 Club Joventut Badalona season,basketball,Club Joventut Badalona,Aíto García Reneses
2004–05 Club Joventut Badalona season,2005–06 Club Joventut Badalona season,basketball,Club Joventut Badalona,Aíto García Reneses
2005–06 Club Joventut Badalona season,2006–07 Club Joventut Badalona season,basketball,Club Joventut Badalona,Aíto García Reneses
