col0,col1,col2,col3
2018 Grand Prix de Plumelec-Morbihan Dames,Plumelec,Olha Kulynych,road bicycle racing
2018 Schaal Sels,Merksem,David Boucher,road bicycle racing
Through Flanders Women's 2019,Tielt,Lucie Lahaye,road bicycle racing
Drôme Classic 2019,Livron-sur-Drôme,Valentin Madouas,road bicycle racing
2019 Mont Ventoux Dénivelé Challenge,Vaison-la-Romaine,Léo Vincent,road bicycle racing
Drôme Classic 2019,Livron-sur-Drôme,Fabien Grellier,road bicycle racing
2019 Mont Ventoux Dénivelé Challenge,Vaison-la-Romaine,Nans Peters,road bicycle racing
Drôme Classic 2019,Livron-sur-Drôme,Nans Peters,road bicycle racing
2019 Mont Ventoux Dénivelé Challenge,Vaison-la-Romaine,Romain Seigle,road bicycle racing
2020 Omloop van het Hageland,Tienen,Maroesjka Matthee,road bicycle racing
Race Torquay WE 2020,Torquay,Emily Roper,road bicycle racing
2020 Omloop Het Nieuwsblad,Ghent,Trixi Worrack,road bicycle racing
2018 Dwars door Vlaanderen - women's race,Tielt,Sofia Beggin,road bicycle racing
2018 Grand Prix de Plumelec-Morbihan Dames,Plumelec,Susanna Zorzi,road bicycle racing
Through Flanders Women's 2019,Tielt,Ruth Winder,road bicycle racing
