col0,col1,col2,col3,col4,col5,col6,col7
4348 Poulydamas,4347 Reger,4.7330717,5.2411948,Meanings of minor planet names: 4001–5000,141.91296,asteroid,L5-Jupiter-Sun
3451 Mentor,3450 Dommanget,4.7828189,5.1381793,Mentor,236.38633,asteroid,L5-Jupiter-Sun
3317 Paris,3316 Herzberg,4.5600675,5.2222994,Paris,245.59687,asteroid,L5-Jupiter-Sun
3240 Laocoon,3239 Meizhou,4.57039,5.2347047,Laocoön,204.44005,asteroid,L5-Jupiter-Sun
2895 Memnon,2894 Kakhovka,4.982296,5.2406188,Memnon,120.27074,asteroid,L5-Jupiter-Sun
2893 Peiroos,2892 Filipenko,4.7556938,5.149806,Peirous,234.11673,asteroid,L5-Jupiter-Sun
2674 Pandarus,2673 Lossignol,4.8251124,5.180404,Pandarus,311.54259,asteroid,L5-Jupiter-Sun
2363 Cebriones,2362 Mark Twain,5.0175964,5.2055845,Kebriones,280.29234,asteroid,L5-Jupiter-Sun
2357 Phereclos,2356 Hirons,4.975556,5.2099372,Phereclus,279.81378,asteroid,L5-Jupiter-Sun
2241 Alcathous,2240 Tsai,4.8328385,5.1819694,Alcathous,313.94966,asteroid,L5-Jupiter-Sun
2223 Sarpedon,2222 Lermontov,5.1541162,5.2356808,Sarpedon,266.04603,asteroid,L5-Jupiter-Sun
2207 Antenor,2206 Gabrova,5.0584285,5.1450247,Antenor,73.99287,asteroid,L5-Jupiter-Sun
1870 Glaukos,1869 Philoctetes,5.0765165,5.2459919,Glaucus,215.91701,asteroid,L5-Jupiter-Sun
1867 Deiphobus,1866 Sisyphus,4.9026356,5.1273242,Deiphobus,247.06271,asteroid,L5-Jupiter-Sun
18268 Dardanos,(18267) 2122 T-3,4.6668266,5.1614296,Dardanus,229.22396,asteroid,L5-Jupiter-Sun
