col0,col1,col2,col3,col4,col5
2018 British Figure Skating Championships - senior pair skating short program,figure skating rules starting from the 2018-2019 season,British Ice Skating,senior,short program,David Hartley
2018 British Figure Skating Championships - senior men's singles short program,figure skating rules starting from the 2018-2019 season,British Ice Skating,senior,short program,David Hartley
Bosphorus Istanbul Cup 2018 - senior ladies' singles short program,figure skating rules starting from the 2018-2019 season,Turkish Ice Skating Federation,senior,short program,Tunde Gal
2018 Christmas Cup - senior ladies' singles short program,figure skating rules starting from the 2018-2019 season,Hungarian National Skating Federation,senior,short program,Dagmar Lurz
2018 Christmas Cup - senior men's singles short program,figure skating rules starting from the 2018-2019 season,Hungarian National Skating Federation,senior,short program,Dagmar Lurz
2018 CS Tallinn Trophy - pair skating short program,figure skating rules starting from the 2018-2019 season,International Skating Union,senior,short program,Jeroen Prins
2018 CS Tallinn Trophy - men's singles short program,figure skating rules starting from the 2018-2019 season,International Skating Union,senior,short program,Jeroen Prins
2018 Warsaw Cup - senior men's singles short program,figure skating rules starting from the 2018-2019 season,Polish Figure Skating Federation,senior,short program,Bartosz Paluchowski
2018 Internationaux de France - pair skating short program,figure skating rules starting from the 2018-2019 season,International Skating Union,senior,short program,Artem Knyazev
2018 Internationaux de France - men's singles short program,figure skating rules starting from the 2018-2019 season,International Skating Union,senior,short program,Jeroen Prins
2018 Rostelecom Cup - pair skating short program,figure skating rules starting from the 2018-2019 season,International Skating Union,senior,short program,Alexander König
