col0,col1,col2,col3
Dalia,Israel,human settlement,UTC+02:00
Ein Carmel,Israel,human settlement,UTC+02:00
Yifat,Israel,human settlement,UTC+02:00
HaZore'a,Israel,human settlement,UTC+02:00
Bror Hayil,Israel,human settlement,UTC+02:00
"Gesher, Israel",Israel,human settlement,UTC+02:00
Nir David,Israel,human settlement,UTC+02:00
Netiv HaLamed-Heh,Israel,human settlement,UTC+02:00
Gvat,Israel,human settlement,UTC+02:00
Beit Keshet,Israel,human settlement,UTC+02:00
Regavim,Israel,human settlement,UTC+02:00
Ramat HaKovesh,Israel,human settlement,UTC+02:00
Ramat David,Israel,human settlement,UTC+02:00
