col0,col1,col2,col3
2015 Toray Pan Pacific Open,2015 Toray Pan Pacific Open – Singles,2015-09-27,"2015 Japan Women's Open, Toray Pan Pacific and Rakuten Japan Open"
2016 Toray Pan Pacific Open,2016 Toray Pan Pacific Open – Singles,2016-09-25,2016 WTA Tour
2014 Toray Pan Pacific Open,2014 Toray Pan Pacific Open – Singles,2014-09-21,2014 Toray Pan Pacific and Rakuten Japan Open
2015 Toray Pan Pacific Open,2015 Toray Pan Pacific Open – Singles,2015-09-27,2015 WTA Tour
2010 Toray Pan Pacific Open,2010 Toray Pan Pacific Open – Doubles,2010-10-02,2010 Toray Pan Pacific and Rakuten Japan Open
2011 Toray Pan Pacific Open,2011 Toray Pan Pacific Open – Singles Qualifying,2011-10-01,2011 Toray Pan Pacific and Rakuten Japan Open
2012 Toray Pan Pacific Open,2012 Toray Pan Pacific Open – Singles,2012-09-29,2012 Toray Pan Pacific and Rakuten Japan Open
2013 Toray Pan Pacific Open,2013 Toray Pan Pacific Open – Singles,2013-09-28,2013 Toray Pan Pacific and Rakuten Japan Open
2014 Toray Pan Pacific Open,2014 Toray Pan Pacific Open – Singles,2014-09-21,2014 WTA Tour
2013 Toray Pan Pacific Open,2013 Toray Pan Pacific Open – Singles,2013-09-28,WTA Premier Five
2011 Toray Pan Pacific Open,2011 Toray Pan Pacific Open – Singles Qualifying,2011-10-01,WTA Premier Five
2010 Toray Pan Pacific Open,2010 Toray Pan Pacific Open – Doubles,2010-10-02,WTA Premier Five
2009 Toray Pan Pacific Open,2009 Toray Pan Pacific Open – Singles,2009-10-03,WTA Premier Five
2012 Toray Pan Pacific Open,2012 Toray Pan Pacific Open – Singles,2012-09-29,WTA Premier Five
2016 Toray Pan Pacific Open,2016 Toray Pan Pacific Open – Singles,2016-09-25,WTA Premier tournament
