col0,col1,col2,col3
2024 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2025 Icelandic Badminton Championships
2023 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2024 Icelandic Badminton Championships
2022 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2023 Icelandic Badminton Championships
2021 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2022 Icelandic Badminton Championships
2020 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2021 Icelandic Badminton Championships
2018 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2019 Icelandic Badminton Championships
2019 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2020 Icelandic Badminton Championships
2015 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2016 Icelandic Badminton Championships
2005 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2006 Icelandic Badminton Championships
2004 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2005 Icelandic Badminton Championships
2003 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2004 Icelandic Badminton Championships
2002 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2003 Icelandic Badminton Championships
2001 Icelandic Badminton Championships,badminton,Icelandic Badminton Championships,2002 Icelandic Badminton Championships
