col0,col1,col2,col3,col4,col5
1968 Thai Badminton Championships,Bangkok,national championship,1968 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1967 Thai Badminton Championships
1967 Thai Badminton Championships,Bangkok,national championship,1967 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1966 Thai Badminton Championships
1966 Thai Badminton Championships,Bangkok,national championship,1966 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1965 Thai Badminton Championships
1965 Thai Badminton Championships,Bangkok,national championship,1965 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1964 Thai Badminton Championships
1963 Thai Badminton Championships,Bangkok,national championship,1963 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1962 Thai Badminton Championships
1962 Thai Badminton Championships,Bangkok,national championship,1962 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1961 Thai Badminton Championships
1961 Thai Badminton Championships,Bangkok,national championship,1961 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1959 Thai Badminton Championships
1959 Thai Badminton Championships,Bangkok,national championship,1959 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1958 Thai Badminton Championships
1958 Thai Badminton Championships,Bangkok,national championship,1958 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1957 Thai Badminton Championships
1957 Thai Badminton Championships,Bangkok,national championship,1957 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1956 Thai Badminton Championships
1956 Thai Badminton Championships,Bangkok,national championship,1956 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1955 Thai Badminton Championships
1955 Thai Badminton Championships,Bangkok,national championship,1955 Thai Badminton Championships – Men's singles,WikiProject Badminton/tournament focus list,1954 Thai Badminton Championships
