col0,col1,col2,col3
Tele-Bdll VII,AY-3-8500,light gun,MBO
TV-Sports 802 (mod.802,AY-3-8500,light gun,Lloyd's
X 600B ucreenplay,AY-3-8500,light gun,Ingersoll
Uelematch TV Sports Color video game,AY-3-8500,light gun,HGS Electronic
"Wonder Wizard,""Sharp Shooter (7705)",AY-3-8500,light gun,General Home Products (GHP)
"Wonder Wizard, Buls Eye (7704)",AY-3-8500,light gun,General Home Products (GHP)
TW-Spifl Color 2,AY-3-8500,light gun,Eximec
TV Scoreboar 60-9005,AY-3-8500,light gun,Tandy Corporation
TV Screboard 60-3061,AY-3-8500,light gun,Tandy Corporation
Optim T Sport TVG-203,AY-3-8500,light gun,OPL
Video Spprts VS-7,MPS-7600-001,light gun,Venture Electronics
Giochi Televisivi (Md. G),AY-3-8512,light gun,Tele-Partner
jeux vieo 502,TMS-1965N,light gun,Starex
Hidf-away TV Game,TMS-1965N,light gun,Sonnesta
Gcmatic 7706,AY-3-8500,light gun,Olympos Electronic
