col0,col1,col2,col3,col4
WOH G 150,Large Magellanic Cloud,Dorado,16.17,-0.41
SHV 0450469-690704,Large Magellanic Cloud,Dorado,17.23,0.22
SHV 0450082-684909,Large Magellanic Cloud,Dorado,18.65,-0.139
2MASS J05235015-6926590,Large Magellanic Cloud,Dorado,19.45,0.422
2MASS J05231773-6926480,Large Magellanic Cloud,Dorado,15.86,-0.552
2MASS J05085976-6911553,Large Magellanic Cloud,Dorado,19.67,0.642
SHV 0529528-693503,Large Magellanic Cloud,Dorado,16.79,0.701
SHV 0459040-684627,Large Magellanic Cloud,Dorado,18.05,0.005
SHV 0454386-681258,Large Magellanic Cloud,Dorado,18.3,-0.543
SHV 0457044-680606,Large Magellanic Cloud,Dorado,19.97,-0.554
2MASS J05015987-6852202,Large Magellanic Cloud,Dorado,19.04,0.672
