col0,col1,col2,col3
Estádio do Morumbi,67052,Cícero Pompeu de Toledo,association football
Stade Félix-Bollaert,38233,André Delelis,association football
Polish Army Stadium,31103,Józef Piłsudski,association football
Sinobo Stadium,20800,Sinobo Group,association football
Andrův stadion,12566,Josef Ander,association football
Estadio Benito Villamarín,60720,Benito Villamarín Prieto,association football
Stade du Moustoir,18500,Yves Allainmat,association football
HDI-Arena,49000,HDI Haftpflichtverband der Deutschen Industrie,association football
WWK Arena,30660,WWK,association football
Estadio Multiusos de San Lázaro,14000,Verónica Boquete,association football
Merkur Spielarena,9917,Esprit Holdings,association football
