col0,col1,col2,col3
The First Part of King Henry the Fourth,The First Part of King Henry the Fourth,William Shakespeare,The Yale Shakespeare
The Life of Henry the Fifth,The Life of Henry the Fifth,William Shakespeare,The Yale Shakespeare
The Tragedy of King Richard the Second,The Tragedy of King Richard the Second,William Shakespeare,The Yale Shakespeare
"The Tragedy of Hamlet, Prince of Denmark","The Tragedy of Hamlet, Prince of Denmark",William Shakespeare,The Yale Shakespeare
Plate Deformation from Cradle to Grave,Plate Deformation from Cradle to Grave: Seismic Anisotropy and Deformation at Mid-Ocean Ridges and in the Lowermost Mantle,Andy Nowacki,Springer Theses
"Terrorist Assemblages, Expanded 10th anniversary edition - Electronic",Terrorist Assemblages,Jasbir Puar,Next Wave: New Directions in Women's Studies
The Tragedy of Macbeth,The Tragedy of Macbeth,William Shakespeare,The Yale Shakespeare
The Third Part of King Henry the Sixth,The Third Part of King Henry the Sixth,William Shakespeare,The Yale Shakespeare
The First Part of King Henry the Sixth,The First Part of King Henry the Sixth,William Shakespeare,The Yale Shakespeare
The Tragedy of Julius Cæsar,The Tragedy of Julius Cæsar,William Shakespeare,The Yale Shakespeare
