col0,col1,col2,col3
For the First Time in Forever,Walt Disney Records,Kristen Anderson-Lopez,Kristen Anderson-Lopez
Do You Want to Build a Snowman?,Walt Disney Records,Kristen Anderson-Lopez,Kristen Anderson-Lopez
Reindeer,Walt Disney Records,Robert Lopez,Kristen Anderson-Lopez
Frozen Heart,Walt Disney Records,Robert Lopez,Kristen Anderson-Lopez
Fixer Upper,Walt Disney Records,Robert Lopez,Kristen Anderson-Lopez
Love Is an Open Door,Walt Disney Records,Robert Lopez,Kristen Anderson-Lopez
In Summer,Walt Disney Records,Robert Lopez,Kristen Anderson-Lopez
For the First Time in Forever,Walt Disney Records,Robert Lopez,Kristen Anderson-Lopez
Do You Want to Build a Snowman?,Walt Disney Records,Robert Lopez,Kristen Anderson-Lopez
When Can I See You Again?,Walt Disney Records,Matt Thiessen,Brian Lee
Reindeer,Walt Disney Records,Kristen Anderson-Lopez,Robert Lopez
