col0,col1,col2,col3,col4,col5
palladium-128,1041664,46,1,silver-127,0
palladium-126,1032822,46,1,silver-125,0
palladium-124,1023248,46,1,silver-124,0
palladium-122,1013328.95,46,1,silver-121,0
palladium-121,1006823.818,46,1,silver-120,1.5
palladium-120,1002850.2,46,1,silver-120,0
palladium-118,991816.196,46,1,silver-118,0
palladium-117,984780.693,46,1,silver-117,2.5
palladium-116,980116.48,46,1,silver-116,0
palladium-115,972639.87,46,1,silver-115,2.5
palladium-114,967633.14,46,1,silver-114,0
palladium-113,959661.992,46,1,silver-113,2.5
palladium-112,954321.088,46,1,silver-112,0
palladium-111,945914.139,46,1,silver-111,2.5
