col0,col1,col2,col3
1977–78 Unione Calcio Sampdoria season,1977-1978 one-year-period,1978–79 Unione Calcio Sampdoria season,1976–77 Unione Calcio Sampdoria season
1990–91 Udinese Calcio season,1990-1991 one-year-period,1991–92 Udinese Calcio season,1989–90 Udinese Calcio season
1989–90 Udinese Calcio season,1989-1990 one-year-period,1990–91 Udinese Calcio season,1988–89 Udinese Calcio season
1988–89 Udinese Calcio season,1988-1989 one-year-period,1989–90 Udinese Calcio season,1987–88 Udinese Calcio season
1987–88 Udinese Calcio season,1987-1988 one-year-period,1988–89 Udinese Calcio season,1986–87 Udinese Calcio season
1986–87 Udinese Calcio season,1986-1987 one-year-period,1987–88 Udinese Calcio season,1985–86 Udinese Calcio season
1985–86 Udinese Calcio season,1985-1986 one-year-period,1986–87 Udinese Calcio season,1984–85 Udinese Calcio season
1984–85 S.C. Bastia season,1984-1985 one-year-period,1985–86 SEC Bastia season,1983–84 S.C. Bastia season
1983–84 S.C. Bastia season,1983-1984 one-year-period,1984–85 S.C. Bastia season,1982–83 S.C. Bastia season
1982–83 S.C. Bastia season,1982-1983 one-year-period,1983–84 S.C. Bastia season,1981–82 S.C. Bastia season
