col0,col1,col2,col3
Hyperion,hypercoaster,Intamin,Poland
Diving Coaster,hypercoaster,Bolliger & Mabillard,People's Republic of China
Wild Eagle,hypercoaster,Bolliger & Mabillard,United States of America
Steel Force,hypercoaster,D. H. Morgan Manufacturing,United States of America
Speed – The Ride,hypercoaster,Premier Rides,United States of America
Skyrush,hypercoaster,Intamin,United States of America
Mamba,hypercoaster,D. H. Morgan Manufacturing,United States of America
Magnum XL-200,hypercoaster,Arrow Dynamics,United States of America
Wild Thing,hypercoaster,D. H. Morgan Manufacturing,United States of America
Intimidator,hypercoaster,Bolliger & Mabillard,United States of America
The Roller Coaster,hypercoaster,TOGO,United States of America
