col0,col1,col2,col3
Cadaval e Pêro Moniz,2013-01-28,Cadaval,Vilar
Lourinhã e Atalaia,2013-01-28,Lourinhã,Ribamar
Reboreda e Nogueira,2013-01-28,Vila Nova de Cerveira,Cornes
Candemil e Gondar,2013-01-28,Vila Nova de Cerveira,Cornes
Campos e Vila Meã,2013-01-28,Vila Nova de Cerveira,Cornes
Candemil e Gondar,2013-01-28,Vila Nova de Cerveira,Sapardos
Lourinhã e Atalaia,2013-01-28,Lourinhã,Atouguia da Baleia
Gondemaria e Olival,2013-01-28,Ourém,Atouguia
Sabugal e Aldeia de Santo António,2013-01-28,Sabugal,Meimão
"Coz, Alpedriz e Montes",2013-01-28,Alcobaça,Maiorga
Sabugal e Aldeia de Santo António,2013-01-28,Sabugal,Águas Belas
Vila Nova de Cerveira e Lovelhe,2013-01-28,Vila Nova de Cerveira,Reboreda e Nogueira
Candemil e Gondar,2013-01-28,Vila Nova de Cerveira,Reboreda e Nogueira
Campos e Vila Meã,2013-01-28,Vila Nova de Cerveira,Reboreda e Nogueira
