col0,col1,col2,col3
[TKT2016] 4203,Delphinus,313.58398,galaxy group
[TKT2016] 1234,Indus,316.5632,galaxy group
[TKT2016] 1225,Indus,313.13465,galaxy group
[TKT2016] 412,Puppis,91.71029,galaxy group
[TKT2016] 1451,Phoenix,1.39411,galaxy group
[TKT2016] 4468,Pegasus,347.88178,galaxy group
[TKT2016] 5693,Hercules,255.94001,galaxy group
Shk 64,Ursa Major,172.425,galaxy group
LCLG-12 066,Crater,170.125583,galaxy group
LCLG-03 087,Leo,171.204208,galaxy group
LCLG-06 045,Crater,170.480375,galaxy group
