col0,col1,col2,col3,col4
1939–40 Club Joventut Badalona season,1940–41 Club Joventut Badalona season,basketball,Club Joventut Badalona,Xavier Estruch i Serrat
1940–41 Club Joventut Badalona season,1941–42 Club Joventut Badalona season,basketball,Club Joventut Badalona,Xavier Estruch i Serrat
1944–45 Club Joventut Badalona season,1945–46 Club Joventut Badalona season,basketball,Club Joventut Badalona,Xavier Estruch i Serrat
2013–14 Club Joventut Badalona season,2014–15 Club Joventut Badalona season,basketball,Club Joventut Badalona,Lluís Riera Martí
2014–15 Club Joventut Badalona season,2015–16 Club Joventut Badalona season,basketball,Club Joventut Badalona,Lluís Riera Martí
1953–54 Club Joventut Badalona season,1954–55 Club Joventut Badalona season,basketball,Club Joventut Badalona,Joaquín Broto Tena
1956–57 Club Joventut Badalona season,1957–58 Club Joventut Badalona season,basketball,Club Joventut Badalona,Joaquín Broto Tena
1996–97 Club Joventut Badalona season,1997–98 Club Joventut Badalona season,basketball,Club Joventut Badalona,Alfred Julbe
1997–98 Club Joventut Badalona season,1998–99 Club Joventut Badalona season,basketball,Club Joventut Badalona,Alfred Julbe
1998–99 Club Joventut Badalona season,1999–00 Club Joventut Badalona season,basketball,Club Joventut Badalona,Alfred Julbe
2000–01 Club Joventut Badalona season,2001–02 Club Joventut Badalona season,basketball,Club Joventut Badalona,Manel Comas
2001–02 Club Joventut Badalona season,2002–03 Club Joventut Badalona season,basketball,Club Joventut Badalona,Manel Comas
2002–03 Club Joventut Badalona season,2003–04 Club Joventut Badalona season,basketball,Club Joventut Badalona,Manel Comas
