col0,col1,col2,col3
1991 Dow Classic – Singles,Martina Navratilova,Women's Tennis Association,United Kingdom
1983 Edgbaston Cup – Singles,Billie Jean King,Women's Tennis Association,United Kingdom
1983 Edgbaston Cup – Doubles,Billie Jean King,Women's Tennis Association,United Kingdom
1994 DFS Classic – Doubles,Zina Garrison,Women's Tennis Association,United Kingdom
2013 Monterrey Open – Singles,Anastasia Pavlyuchenkova,Women's Tennis Association,Mexico
2013 Monterrey Open – Doubles,Tímea Babos,Women's Tennis Association,Mexico
1989 Volvo U.S. National Indoor – Doubles,Paul Annacone,Women's Tennis Association,United States of America
1990 Volvo U.S. National Indoor – Doubles,Darren Cahill,Women's Tennis Association,United States of America
1989 Volvo U.S. National Indoor – Singles,Brad Gilbert,Women's Tennis Association,United States of America
1990 Volvo U.S. National Indoor – Singles,Michael Stich,Women's Tennis Association,United States of America
