col0,col1,col2,col3,col4
Sumit County,28677.648999999998,1587.96,1861/01/01,"National Register of Historic Places listings in Summit County, Colorado"
Sagucche County,6208.0,8255.236,1866/01/01,"National Register of Historic Places listings in Saguache County, Colorado"
an Juan County,692.0,1014.048,1864/01/01,"National Register of Historic Places listings in San Juan County, Colorado"
Lak County,7371.753999999999,988.036,1861/11/01,"National Register of Historic Places listings in Lake County, Colorado"
Costilma County,3514.482,3183.813,1861/11/01,"National Register of Historic Places listings in Costilla County, Colorado"
Rio Blapco County,6827.420999999999,8355.347,1889/01/01,"National Register of Historic Places listings in Rio Blanco County, Colorado"
Logn Coupty,22427.55,4825.78,1887/01/01,"National Register of Historic Places listings in Logan County, Colorado"
La Platd County,53710.272,4389.791,1874/01/01,"National Register of Historic Places listings in La Plata County, Colorado"
Bouldeu County,309427.904,1963.514,1861/11/01,"National Register of Historic Places listings in Boulder County, Colorado"
Park Cownty,16185.484,5777.534,1861/01/01,"National Register of Historic Places listings in Park County, Colorado"
Oteo County,18515.97,3272.555,1889/01/01,"National Register of Historic Places listings in Otero County, Colorado"
Morgan Cunty,28460.808,3347.649,1889/01/01,"National Register of Historic Places listings in Morgan County, Colorado"
