col0,col1,col2,col3
Source Serif Pro,2014-01-01,Frank Grießhammer,Adobe
Source Code Pro,2012-01-01,Paul D. Hunt,Adobe
Source Sans Pro,2012-08-01,Paul D. Hunt,Adobe
FiraGO,2018-03-01,Anja Meiners,bBoxType
Fira Mono,2013-01-01,Ralph du Carrois,bBoxType
FiraGO,2018-03-01,Yanek Iontef,bBoxType
Fira Mono,2013-01-01,Erik Spiekermann,bBoxType
FiraGO,2018-03-01,Erik Spiekermann,bBoxType
Fira Mono,2013-01-01,Erik Spiekermann,Carrois
IBM Plex Sans Thai Looped,2019-04-05,Mark Frömberg,Bold Monday
IBM Plex Sans Thai,2018-10-16,Mark Frömberg,Bold Monday
IBM Plex Sans Thai Looped,2019-04-05,Ben Mitchell,Bold Monday
IBM Plex Sans Thai,2018-10-16,Ben Mitchell,Bold Monday
