col0,col1,col2,col3
2015 Carlsbad Classic,Women's Tennis Association,tennis,United States of America
2013 Southern California Open,Women's Tennis Association,tennis,United States of America
2006 Acura Classic,Women's Tennis Association,tennis,United States of America
2005 Acura Classic,Women's Tennis Association,tennis,United States of America
2004 Acura Classic,Women's Tennis Association,tennis,United States of America
2003 Acura Classic,Women's Tennis Association,tennis,United States of America
2002 Acura Classic,Women's Tennis Association,tennis,United States of America
2001 Acura Classic,Women's Tennis Association,tennis,United States of America
2000 Acura Classic,Women's Tennis Association,tennis,United States of America
1999 TIG Classic,Women's Tennis Association,tennis,United States of America
1998 Toshiba Classic,Women's Tennis Association,tennis,United States of America
1997 Toshiba Classic,Women's Tennis Association,tennis,United States of America
