col0,col1,col2,col3
2003 Irish Open Badminton Championships,Irish Open Badminton Championships,2003 Irish Open Badminton Championships – Men's doubles,Ireland
2008 Irish Open Badminton Championships,Irish Open Badminton Championships,2008 Irish Open Badminton Championships – Men's doubles,Ireland
1905 Irish Open Badminton Championships,Irish Open Badminton Championships,1905 Irish Open Badminton Championships – Men's doubles,Ireland
2002 Irish Open Badminton Championships,Irish Open Badminton Championships,2002 Irish Open Badminton Championships – Men's doubles,Ireland
1950 Irish Open Badminton Championships,Irish Open Badminton Championships,1950 Irish Open Badminton Championships – Men's doubles,Ireland
1949 Irish Open Badminton Championships,Irish Open Badminton Championships,1949 Irish Open Badminton Championships – Men's doubles,Ireland
1948 Irish Open Badminton Championships,Irish Open Badminton Championships,1948 Irish Open Badminton Championships – Men's doubles,Ireland
1947 Irish Open Badminton Championships,Irish Open Badminton Championships,1947 Irish Open Badminton Championships – Men's doubles,Ireland
1939 Irish Open Badminton Championships,Irish Open Badminton Championships,1939 Irish Open Badminton Championships – Men's doubles,Ireland
1938 Irish Open Badminton Championships,Irish Open Badminton Championships,1938 Irish Open Badminton Championships – Men's doubles,Ireland
1937 Irish Open Badminton Championships,Irish Open Badminton Championships,1937 Irish Open Badminton Championships – Men's doubles,Ireland
1936 Irish Open Badminton Championships,Irish Open Badminton Championships,1936 Irish Open Badminton Championships – Men's doubles,Ireland
1935 Irish Open Badminton Championships,Irish Open Badminton Championships,1935 Irish Open Badminton Championships – Men's doubles,Ireland
1934 Irish Open Badminton Championships,Irish Open Badminton Championships,1934 Irish Open Badminton Championships – Men's doubles,Ireland
1933 Irish Open Badminton Championships,Irish Open Badminton Championships,1933 Irish Open Badminton Championships – Men's doubles,Ireland
