col0,col1,col2,col3
Church of Saint James the Greater,fortified church,Czech Republic,Catholic Church
Church of Saint Bartholomew,fortified church,Czech Republic,Catholic Church
Church of the Transfiguration in Zaslaŭje,fortified church,Belarus,Belarusian Orthodox Church
Santa María,National monument of Spain,Spain,Latin Church
Church of Saints Peter and Paul,church building,Czech Republic,Catholic Church
Church of Saint Barbara,church building,Czech Republic,Catholic Church
Church of Saint John the Baptist,church building,Czech Republic,Catholic Church
Church of Saint James the Greater,church building,Czech Republic,Catholic Church
Saint Anne church,church building,Czech Republic,Catholic Church
Church of Saint Wenceslaus,church building,Czech Republic,Catholic Church
