col0,col1,col2,col3,col4
1951 Swedish Badminton Championships,1951 Swedish Badminton Championships – Mixed doubles,badminton,Gothenburg,Sweden
1947 Swedish Badminton Championships,1947 Swedish Badminton Championships – Mixed doubles,badminton,Gothenburg,Sweden
1939 Swedish Badminton Championships,1939 Swedish Badminton Championships – Mixed doubles,badminton,Gothenburg,Sweden
1951 Swedish Badminton Championships,1951 Swedish Badminton Championships – Women's singles,badminton,Gothenburg,Sweden
1947 Swedish Badminton Championships,1947 Swedish Badminton Championships – Women's singles,badminton,Gothenburg,Sweden
1939 Swedish Badminton Championships,1939 Swedish Badminton Championships – Women's singles,badminton,Gothenburg,Sweden
1951 Swedish Badminton Championships,1951 Swedish Badminton Championships – Women's doubles,badminton,Gothenburg,Sweden
1947 Swedish Badminton Championships,1947 Swedish Badminton Championships – Women's doubles,badminton,Gothenburg,Sweden
1939 Swedish Badminton Championships,1939 Swedish Badminton Championships – Women's doubles,badminton,Gothenburg,Sweden
1951 Swedish Badminton Championships,1951 Swedish Badminton Championships – Men's singles,badminton,Gothenburg,Sweden
1947 Swedish Badminton Championships,1947 Swedish Badminton Championships – Men's singles,badminton,Gothenburg,Sweden
