col0,col1,col2,col3
Lower Navarre,France,Pyrénées-Atlantiques,Armendarits
Labourd,France,French Basque Country,Jatxou
Lower Navarre,France,Pyrénées-Atlantiques,Suhescun
Labourd,France,French Basque Country,Guiche
Lower Navarre,France,Pyrénées-Atlantiques,Luxe-Sumberraute
Labourd,France,French Basque Country,Boucau
Lower Navarre,France,Pyrénées-Atlantiques,Arnéguy
Labourd,France,French Basque Country,Sare
Lower Navarre,France,Pyrénées-Atlantiques,Saint-Jean-Pied-de-Port
Labourd,France,French Basque Country,Ustaritz
Lower Navarre,France,Pyrénées-Atlantiques,Saint-Palais
