col0,col1,col2,col3,col4
2006 Cup of China - ice dancing original dance,original dance,ice dance,senior,Nanjing Olympic Sports Center Gymnasium
2006 Skate Canada International - ice dancing original dance,original dance,ice dance,senior,Save-On-Foods Memorial Centre
2006 Skate America - ice dancing original dance,original dance,ice dance,senior,XL Center
2007 NHK Trophy - ice dancing original dance,original dance,ice dance,senior,Sendai Gymnasium
2007 Cup of Russia - ice dancing original dance,original dance,ice dance,senior,Megasport Arena
2007 Trophée Eric Bompard - ice dancing original dance,original dance,ice dance,senior,AccorHotels Arena
2007 Cup of China - ice dancing original dance,original dance,ice dance,senior,Harbin International Conference Exhibition and Sports Center
2007 Skate Canada International - ice dancing original dance,original dance,ice dance,senior,Colisée Pepsi
2007 Skate America - ice dancing original dance,original dance,ice dance,senior,Sovereign Center
2008 NHK Trophy - ice dancing original dance,original dance,ice dance,senior,Yoyogi National Gymnasium
2008 Cup of Russia - ice dancing original dance,original dance,ice dance,senior,Megasport Arena
2008 Trophée Eric Bompard - ice dancing original dance,original dance,ice dance,senior,AccorHotels Arena
