col0,col1,col2,col3,col4,col5,col6
2013 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2014 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2012 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2013 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2011 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2012 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2010 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2011 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2009 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2010 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2008 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2009 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2006 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2008 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2005 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2006 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2004 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2005 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2003 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2004 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2002 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2003 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2001 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2002 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
2000 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2001 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1999 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,2000 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1998 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1999 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
