col0,col1,col2,col3
2012 Durango-Durango Emakumeen Saria,"Durango, Biscay",2011 Durango-Durango Emakumeen Saria,women's sports
2014 Drentse 8 van Dwingeloo,Dwingeloo,2013 Drentse 8 van Dwingeloo,women's sports
2015 Omloop van het Hageland,Tielt-Winge,2014 Omloop van het Hageland,women's sports
2013 Le Samyn des Dames,Dour,2012 Le Samyn des Dames,women's sports
2013 EPZ Omloop van Borsele,Borsele,2012 EPZ Omloop van Borsele,women's sports
2013 Durango-Durango Emakumeen Saria,"Durango, Biscay",2012 Durango-Durango Emakumeen Saria,women's sports
2016 Le Samyn des Dames,Dour,2015 Le Samyn des Dames,women's sports
2015 Durango-Durango Emakumeen Saria,"Durango, Biscay",2014 Durango-Durango Emakumeen Saria,women's sports
2015 Grand Prix de Dottignies,Dottignies,2014 Grand Prix de Dottignies,women's sports
2015 Le Samyn des Dames,Dour,2014 Le Samyn des Dames,women's sports
2014 Durango-Durango Emakumeen Saria,"Durango, Biscay",2013 Durango-Durango Emakumeen Saria,women's sports
2015 Acht van Westerveld,Dwingeloo,2014 Drentse 8 van Dwingeloo,women's sports
2014 Le Samyn des Dames,Dour,2013 Le Samyn des Dames,women's sports
