col0,col1,col2,col3
SDSS J102006.74+090647.4,-1.052,155.0281096430843,0.57336
SDSS J102021.21+121909.1,-0.101,155.0883875003762,0.4793
2QZ J101911.2+015354,0.17,154.797242384729,0.1886
2QZ J101856.8+012856,-0.893,154.7370559851616,0.4047
MCG+00-27-002,-0.043,155.4177255381136,0.041
2MASS J10264060+0837278,-0.288,156.6691676067148,0.18713
2SLAQ J102758.40+003103.3,-0.883,156.9933229434315,0.3725
2MASS J09131265+5747321,-0.506,138.3027258547306,0.3411
6C 112917+651559,0.203,172.9946563131969,0.4007
7C 133130.69+631508.00,-0.84,203.3031655778851,0.451
SDSS J132731.98+654848.3,-0.075,201.8832489285871,0.21955
SDSS J105601.20+660738.6,-0.669,164.005032364505,0.38061
2MASS J09163564+6027225,-0.07,139.1481287370427,0.2615
1WGA J1140.8+6449,-0.516,175.2111211318878,0.4523
SDSS J080726.75+505111.9,-0.397,121.8615178852982,0.4871
