col0,col1,col2,col3,col4
Badminton at the 2018 Summer Youth Olympics – Mixed teams final,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Women's singles final,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Women's singles bronze medal match,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Women's singles quarterfinals match 2,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Women's singles quarterfinals match 1,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Men's singles final,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Men's singles bronze medal match,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Men's singles quarterfinals match 3,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Men's singles quarterfinals match 2,2018-01-01,Buenos Aires,badminton,badminton match
Badminton at the 2018 Summer Youth Olympics – Men's singles quarterfinals match 1,2018-01-01,Buenos Aires,badminton,badminton match
2013 French Super Series – Women's singles quarterfinals match 4,2013-01-01,Paris,badminton,badminton match
