col0,col1,col2,col3
1978 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Hawthorn Football Club
1976 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Hawthorn Football Club
1971 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Hawthorn Football Club
1961 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Hawthorn Football Club
1963 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Geelong Football Club
1952 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Geelong Football Club
1951 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Geelong Football Club
1937 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Geelong Football Club
1931 VFL Grand Final,Australian rules football,Melbourne Cricket Ground,Geelong Football Club
1998 AFL Grand Final,Australian rules football,Melbourne Cricket Ground,Adelaide Football Club
