col0,col1,col2,col3
Shuanggu,town in China,Miaogeng,Rong County
Kafang,town in China,Tianxin,Gejiu
Guantian,town in China,Tianxin,Chongyi County
Sanxing Town,town in China,Zhulin Community,Jintang County
Dasungezhuang,town in China,Dasungezhuang,Shunyi District
Dachanghan,town in China,Shiyanta,Fugu County
Tangfang,town in China,Diaozhuangzi,Fengnan District
Tangyuan,town in China,Xinzhuang,Linqing
Hazhen,town in China,Yuergou,Fugu County
Hulan,town in China,Xinlan,Panshi
Nanyang,town in China,Dongtian Village,Weishan County
Nanqing,town in China,Xiaoshan,Yuexi County
Liupu,town in China,Shanping Yao Village,Cangwu County
Dazhuang,town in China,Lijiapo,Yinan County
