col0,col1,col2,col3
2015 GP de Plouay,road bicycle racing,CDM,2016 GP de Plouay
2011 Tour of Flanders for Women,road bicycle racing,CDM,2012 Tour of Flanders for Women
2004 Tour of Flanders for Women,road bicycle racing,CDM,2005 Tour of Flanders for Women
2008 Tour of Flanders for Women,road bicycle racing,CDM,2009 Tour of Flanders for Women
2015 Crescent Women World Cup Vårgårda TTT,road bicycle racing,CDM,2016 Open de Suède Vårgårda TTT
2015 Philadelphia Cycling Classic,cycle sport,CDM,2016 Philadelphia Cycling Classic
2015 UCI Road World Championships – Women's junior road race,road bicycle racing,CDM,2016 UCI Road World Championships – Women's junior road race
2015 Ronde van Drenthe World Cup,cycle sport,CDM,2016 Women's WorldTour Ronde van Drenthe
2015 Trofeo Alfredo Binda-Comune di Cittiglio,road bicycle racing,CDM,2016 Trofeo Alfredo Binda-Comune di Cittiglio
2015 Tour of Flanders for Women,road bicycle racing,CDM,2016 Tour of Flanders for Women
2014 Open de Suède Vårgårda,road bicycle racing,CDM,2015 Crescent Women World Cup Vårgårda
2014 Open de Suède Vårgårda TTT,road bicycle racing,CDM,2015 Crescent Women World Cup Vårgårda TTT
