col0,col1,col2,col3
"2011 Tour of Norway, Stage 2","2011 Tour of Norway, Stage 1",road bicycle racing,Vegard Robinson Bugge
"2017 Joe Martin Stage Race, Stage 3","2017 Joe Martin Stage Race, Stage 2",cycle sport,Eric Young
"2011 Tour of Norway, Stage 2","2011 Tour of Norway, Stage 1",road bicycle racing,Daniel Foder
"2018 Tour of Slovenia, stage 2","2018 Tour of Slovenia, stage 1",road bicycle racing,Ben Hill
"2018 Tour du Maroc, Stage 5","2018 Tour du Maroc, Stage 4",road bicycle racing,Jakub Mareczko
"2018 Tour of Slovenia, stage 2","2018 Tour of Slovenia, stage 1",road bicycle racing,Dylan Groenewegen
"2018 Tour of Eftalia Hotels & Velo Alanya, Stage 2","2018 Tour of Eftalia Hotels & Velo Alanya, Stage 1",road bicycle racing,Olga Zabelinskaya
"2018 Tour du Maroc, Stage 7","2018 Tour du Maroc, Stage 6",road bicycle racing,David Rivière
"2018 Tour du Maroc, Stage 6","2018 Tour du Maroc, Stage 5",road bicycle racing,Jacob Tipper
"2018 Tour du Maroc, Stage 7","2018 Tour du Maroc, Stage 6",road bicycle racing,Jakub Mareczko
"2018 Tour of Slovenia, stage 4","2018 Tour of Slovenia, stage 3",road bicycle racing,Primož Roglič
"2018 Tour of Slovenia, stage 3","2018 Tour of Slovenia, stage 2",road bicycle racing,Rigoberto Urán
"2018 Tour of Eftalia Hotels & Velo Alanya, Stage 3","2018 Tour of Eftalia Hotels & Velo Alanya, Stage 2",road bicycle racing,Olga Zabelinskaya
