col0,col1,col2,col3
Bethune Town Cemetery,3233,Béthune,Frank Alexander de Pass
"Bailleul Communal Cemetery Extension, Nord",4580,Bailleul,Francis Earl Johnston
Boulogne Eastern Cemetery,5813,Boulogne-sur-Mer,Eugene Tobin
Amara War Cemetery,4633,Amarah,Edgar Christopher Cookson
Étaples Military Cemetery,11553,Étaples,Douglas Reynolds
"Bailleul Communal Cemetery Extension, Nord",4580,Bailleul,Charles Henry Brown
Boulogne Eastern Cemetery,5813,Boulogne-sur-Mer,Arthur Hartshorne
Cabaret-Rouge British Cemetery,7661,Souchez,"Arthur French, 5th Baron de Freyne"
Dud Corner Cemetery,1812,Loos-en-Gohelle,Anketell Moutray Read
Basra War Cemetery,3071,Basra,George Godfrey Massy Wheeler
Queant Road Cemetery,2385,Buissy,Percy Cherry
