col0,col1,col2,col3
Croix de cimetière de Lombard,France,monument historique classé,Lombard
Croix de cimetière (Rocquemont),France,registered historic monument,Rocquemont
Croix hosannière de Gourgé,France,monument historique classé,Gourgé
croix de cimetière de Vinça,France,monument historique classé,Vinça
Croix de cimetière de Villeneuve-sur-Auvers,France,registered historic monument,Villeneuve-sur-Auvers
Croix de cimetière de Saint-Ouen-de-Thouberville,France,registered historic monument,Saint-Ouen-de-Thouberville
Croix de cimetière,France,monument historique classé,Limetz-Villez
Croix de cimetière de Genainville,France,monument historique classé,Genainville
Croix du cimetière de Branne,France,registered historic monument,Branne
Croix de cimetière,France,monument historique classé,Anet
croix de cimetière de Blésignac,France,monument historique classé,Blésignac
Croix de cimetière de Noisy-le-Grand,France,registered historic monument,Noisy-le-Grand
