col0,col1,col2,col3
Tryptophan synthase,Chlamydia trachomatis D/UW-3/CX,tryptophan synthase activity,protein complex
Lactase,Homo sapiens,catalytic activity,digestive enzyme
Fruit bromelain,Ananas comosus,cysteine-type peptidase activity,food additive
Lactase,Homo sapiens,catalytic activity,carbohydrate
Photinus luciferin 4-monooxygenase,Photinus pyralis,Firefly luciferase activity,protein
Kallikrein 1-related peptidase b16,house mouse,serine-type peptidase activity,protein
T7 DNA polymerase,Enterobacteria phage T7,DNA-directed DNA polymerase activity,protein
Oxaloacetase,Dianthus caryophyllus,oxaloacetase activity,protein
M-phase inducer phosphatase,Schizosaccharomyces pombe,protein tyrosine phosphatase activity,protein
Fruit bromelain,Ananas comosus,cysteine-type peptidase activity,protein
Intestinal-type alkaline phosphatase,Bos taurus,alkaline phosphatase activity,protein
Lactoperoxidase,Homo sapiens,metal ion binding,protein
Lactase,Homo sapiens,catalytic activity,protein
Glutamic--pyruvic transaminase,Homo sapiens,catalytic activity,protein
