col0,col1,col2,col3,col4
Ben Rivers,Germany,Kunstverein in Hamburg,Ben Rivers,2016-03-23
Olaf Metzel,Germany,Kunstverein in Hamburg,Olaf Metzel,2013-09-28
Presentation: Intervention in the Hannoversche Allgemeine Zeitung on the occasion of the centenary of the Kestner Gesellschaft,Germany,Kestnergesellschaft,Alberto Garutti,2017-03-11
Ereignishorizont,Germany,Kestnergesellschaft,Alicja Kwade,2010-04-09
Faites le travail qu’accomplit le soleil,Germany,Kestnergesellschaft,Olaf Nicolai,2010-06-11
Not a still life,Germany,Kestnergesellschaft,Christa Dichgans,2018-01-26
medley tour by andy hope 1930,Germany,Kestnergesellschaft,Andy Hope 1930,2012-02-24
Anthony Cragg,Germany,Kestnergesellschaft,Tony Cragg,2012-09-14
The Art of Behaving Badly,Germany,Kestnergesellschaft,Guerrilla Girls,2018-01-26
Earth laughs in flowers,Germany,Kestnergesellschaft,David LaChapelle,2011-02-25
10001 Nights,Germany,Kestnergesellschaft,Daniel Richter,2011-09-04
