col0,col1,col2,col3
Ferrocarril General Roca,Government of Argentina,1676 mm track gauge,railway
Ferrocarril General Manuel Belgrano,Government of Argentina,1000 mm track gauge,railway
Ferrocarril General Bartolomé Mitre,Government of Argentina,1676 mm track gauge,railway
Ramal de Mora,REFER,1668 mm track gauge,railway
Ramal de Montemor,REFER,1668 mm track gauge,railway
Linha de Sines,REFER,1668 mm track gauge,railway
Ramal de Matosinhos,REFER,1000 mm track gauge,railway
Linha de Vendas Novas,REFER,1668 mm track gauge,railway
Ramal de Portalegre,REFER,1668 mm track gauge,railway
Ferrocarril Domingo Faustino Sarmiento,Government of Argentina,1676 mm track gauge,railway
Ramal de Reguengos,REFER,1668 mm track gauge,railway
Ramal de Moura,REFER,1668 mm track gauge,railway
