col0,col1,col2,col3
Šavuličy,village in Belarus,Vaŭkavysk Raion,Belarus
Varanieva,village in Belarus,Krychaw,Belarus
Staborščyna,village in Belarus,Lobkovichy Village Council,Belarus
Plieščyna,village in Belarus,Molyatichsky Village Council,Belarus
Šavuličy,former populated place,Vaŭkavysk Raion,Belarus
Varanieva,former populated place,Krychaw,Belarus
Jachimaŭščyna,village in Belarus,Ejhierdy Sieĺsaviet,Belarus
Matykaŭščyna,village in Belarus,Ejhierdy Sieĺsaviet,Belarus
Čyčynoŭščyna,village in Belarus,Ejhierdy Sieĺsaviet,Belarus
Dudzičy,village in Belarus,Roŭkavičy Sieĺsaviet,Belarus
