col0,col1,col2,col3
Category:1982 births,Category:1981 births,Category:1983 births,Wikimedia set category
Category:2010 books,Category:2009 books,Category:2011 books,Wikimedia category
Category:1985 books,Category:1984 books,Category:1986 books,Wikimedia category
Category:1922 books,Category:1921 books,Category:1923 books,Wikimedia category
Category:1973 books,Category:1972 books,Category:1974 books,Wikimedia category
Category:2004 deaths,Category:2003 deaths,Category:2005 deaths,Wikimedia category
Category:394 deaths,Category:393 deaths,Category:395 deaths,Wikimedia category
Category:384 deaths,Category:383 deaths,Category:385 deaths,Wikimedia category
Category:1982 births,Category:1981 births,Category:1983 births,Wikimedia category
Category:1616 births,Category:1615 births,Category:1617 births,Wikimedia category
Category:482 deaths,Category:481 deaths,Category:483 deaths,Wikimedia category
Category:479 deaths,Category:478 deaths,Category:480 deaths,Wikimedia category
Category:477 deaths,Category:476 deaths,Category:478 deaths,Wikimedia category
Category:476 births,Category:475 births,Category:477 births,Wikimedia category
Category:475 deaths,Category:474 deaths,Category:476 deaths,Wikimedia category
