col0,col1,col2,col3
Stolperstein dedicated to Louis Freundlich,Louis Freundlich,Stolpersteine,Neukölln
Stolperstein dedicated to Klara Freundlich,Klara Freundlich,Stolpersteine,Neukölln
Stolperstein dedicated to Erwin Freundlich,Erwin Freundlich,Stolpersteine,Neukölln
Stolperstein dedicated to Adolf Freundlich,Adolf Freundlich,Stolpersteine,Neukölln
Stolperstein dedicated to Willy Pese,Willy Pese,Stolpersteine,Neukölln
Stolperstein dedicated to Margot Pese,Margot Pese,Stolpersteine,Neukölln
Stolperstein dedicated to Erna Pese,Erna Pese,Stolpersteine,Neukölln
Stolperstein dedicated to Martha Schwersenz,Martha Schwersenz,Stolpersteine,Neukölln
Stolperstein dedicated to Manfred Mendelsohn,Manfred Mendelsohn,Stolpersteine,Neukölln
Stolperstein dedicated to Erna Mendelsohn,Erna Mendelsohn,Stolpersteine,Neukölln
Stolperstein dedicated to Adolf Schwersenz,Adolf Schwersenz,Stolpersteine,Neukölln
Stolperstein dedicated to Adolf Mendelsohn,Adolf Mendelsohn,Stolpersteine,Neukölln
Stolperstein dedicated to Regina Löder,Regina Löder,Stolpersteine,Neukölln
Stolperstein dedicated to Felicia Drucker,Felicia Drucker,Stolpersteine,Neukölln
