col0,col1,col2,col3,col4
ESO 268-34,-7.271,2883,[T2015] nest 100003,1.0997
ESO 323-18,0.082,4754,[CHM2007] LDC 916,0.1772
ESO 268-34,-7.271,2883,[CHM2007] LDC 916,1.0997
ESO 323-18,0.082,4754,[CHM2007] HDC 730,0.1772
UGC 7845,-0.293,7736,Coma Cluster,0.8353
UGC 8053,2.888,709,Virgo Cluster,2.3166
UGC 7942,0.54,859,Virgo Cluster,1.0313
ESO 320-35,-1.401,2997,[TSK2008] 517,0.4925
ESO 572-49,-3.572,1660,[TSK2008] 409,0.2019
UGC 7129,-2.571,926,[TSK2008] 107,1.1415
UGC 6818,-1.446,807,[TSK2008] 102,1.2844
ESO 572-49,-3.572,1660,[T2015] nest 100219,0.2019
UGC 7129,-2.571,926,[T2015] nest 100008,1.1415
