col0,col1,col2,col3
Planet of Giants,Douglas Camfield,Doctor Who,Louis Marks
Day of the Daleks,Paul Bernard,Doctor Who,Louis Marks
The Ark,Michael Imison,Doctor Who,Lesley Scott
The War Machines,Michael Ferguson,Doctor Who,Kit Pedler
The Moonbase,Morris Barry,Doctor Who,Kit Pedler
The Tenth Planet,Derek Martinus,Doctor Who,Kit Pedler
The Abominable Snowmen,Gerald Blake,Doctor Who,Mervyn Haisman
The Underwater Menace,Julia Smith,Doctor Who,Geoffrey Orme
The Highlanders,Hugh David,Doctor Who,Elwyn Jones
The Gunfighters,Rex Tucker,Doctor Who,Donald Cotton
The Myth Makers,Michael Leeston-Smith,Doctor Who,Donald Cotton
The Mind of Evil,Timothy Combe,Doctor Who,Don Houghton
Inferno,Barry Letts,Doctor Who,Don Houghton
The Faceless Ones,Gerry Mill,Doctor Who,David Ellis
