col0,col1,col2,col3,col4,col5
2MASS J06310071+0506142,0.415,-1.822,young stellar object candidate,97.7529629682075,5.10396179622
2MASS J06302649+0502411,0.8858,-2.398,young stellar object candidate,97.6103739994056,5.044755609576
2MASS J06305513+0503272,0.7298,-2.342,young stellar object candidate,97.7297144599007,5.0575599642601
2MASS J06302937+0501125,0.8545,-1.464,young stellar object candidate,97.6223877248501,5.0201422898327
2MASS J06310469+0505076,0.0185,-2.105,young stellar object candidate,97.7695532013967,5.08546896151
2MASS J06303567+0455366,0.778,-2.333,young stellar object candidate,97.6486335575274,4.9268496687495
2MASS J21405301+5818011,0.1935,-3.999,young stellar object candidate,325.2208792314823,58.3003414318164
2MASS J21405974+5817333,0.1382,-0.571,young stellar object candidate,325.2489326300465,58.2926139533876
2MASS J05221483+3319530,0.6891,-2.475,young stellar object candidate,80.5616587238316,33.3314376917244
[PSM2011] 139,0.2212,-0.927,young stellar object candidate,80.7255549278761,33.5258403386794
2MASS J05230572+3334506,2.362,-4.498,young stellar object candidate,80.7738583967124,33.5807659522516
[PSM2011] 194,0.9783,-5.98,young stellar object candidate,80.724162030721,33.5252141486638
