col0,col1,col2,col3,col4
Gmina Sorkwity,Poland,Sorkwity,Gmina Mrągowo,Mrągowo County
Gmina Banie Mazurskie,Poland,Banie Mazurskie,Gmina Kruklanki,Gołdap County
Gmina Suszec,Poland,Suszec,Żory,Pszczyna County
Gmina Kornowac,Poland,Kornowac,Rydułtowy,Racibórz County
Gmina Krzyżanowice,Poland,"Krzyżanowice, Silesian Voivodeship",Gmina Krzanowice,Racibórz County
Gmina Kornowac,Poland,Kornowac,Gmina Lubomia,Racibórz County
Gmina Krzyżanowice,Poland,"Krzyżanowice, Silesian Voivodeship",Gmina Lubomia,Racibórz County
Gmina Kornowac,Poland,Kornowac,Racibórz,Racibórz County
Gmina Krzyżanowice,Poland,"Krzyżanowice, Silesian Voivodeship",Racibórz,Racibórz County
Gmina Duszniki,Poland,"Duszniki, Greater Poland Voivodeship",Gmina Lwówek,Szamotuły County
Gmina Kaźmierz,Poland,Kaźmierz,"Gmina Rokietnica, Greater Poland Voivodeship",Szamotuły County
Gmina Duszniki,Poland,"Duszniki, Greater Poland Voivodeship",Gmina Buk,Szamotuły County
Gmina Kaźmierz,Poland,Kaźmierz,Gmina Tarnowo Podgórne,Szamotuły County
