col0,col1,col2,col3
1990 Lufthansa Cup German Open,WTA German Open,1991 Lufthansa Cup German Open,Women's Tennis Association
1987 Fila German Open,WTA German Open,1988 WTA German Open,Women's Tennis Association
1983 WTA German Open,WTA German Open,1984 WTA German Open,Women's Tennis Association
1985 Fila German Open,WTA German Open,1986 WTA German Open,Women's Tennis Association
1979 WTA German Open,WTA German Open,1981 WTA German Open,Women's Tennis Association
1981 WTA German Open,WTA German Open,1982 WTA German Open,Women's Tennis Association
2007 Qatar Telecom German Open,WTA German Open,2008 Qatar Telecom German Open,Women's Tennis Association
1998 WTA German Open,WTA German Open,1999 WTA German Open,Women's Tennis Association
2004 Ladies German Open,WTA German Open,2005 Qatar Total German Open,Women's Tennis Association
2002 Eurocard German Open,WTA German Open,2003 MasterCard German Open,Women's Tennis Association
2005 Qatar Total German Open,WTA German Open,2006 Qatar Telecom German Open,Women's Tennis Association
1988 WTA German Open,tennis tournament edition by gender,1989 Lufthansa Cup,Women's Tennis Association
1999 WTA German Open,tennis tournament edition,2000 WTA German Open,Women's Tennis Association
1996 WTA German Open,tennis tournament edition,1997 WTA German Open,Women's Tennis Association
1984 WTA German Open,tennis tournament edition,1985 Fila German Open,Women's Tennis Association
