col0,col1,col2,col3
1990 Jadranska Magistrala,1991 Jadranska Magistrala,Yugoslavia,road bicycle racing
1989 Jadranska Magistrala,1990 Jadranska Magistrala,Yugoslavia,road bicycle racing
1988 Jadranska Magistrala,1989 Jadranska Magistrala,Yugoslavia,road bicycle racing
1987 Jadranska Magistrala,1988 Jadranska Magistrala,Yugoslavia,road bicycle racing
1986 Jadranska Magistrala,1987 Jadranska Magistrala,Yugoslavia,road bicycle racing
1985 Jadranska Magistrala,1986 Jadranska Magistrala,Yugoslavia,road bicycle racing
1984 Jadranska Magistrala,1985 Jadranska Magistrala,Yugoslavia,road bicycle racing
1983 Jadranska Magistrala,1984 Jadranska Magistrala,Yugoslavia,road bicycle racing
1982 Jadranska Magistrala,1983 Jadranska Magistrala,Yugoslavia,road bicycle racing
1981 Jadranska Magistrala,1982 Jadranska Magistrala,Yugoslavia,road bicycle racing
1980 Jadranska Magistrala,1981 Jadranska Magistrala,Yugoslavia,road bicycle racing
1979 Jadranska Magistrala,1980 Jadranska Magistrala,Yugoslavia,road bicycle racing
1978 Jadranska Magistrala,1979 Jadranska Magistrala,Yugoslavia,road bicycle racing
