col0,col1,col2,col3
Gmina Mściwojów,Mściwojów,rural municipality of Poland,71.83
Gmina Masłowice,"Masłowice, Radomsko County",rural municipality of Poland,116.2
Gmina Nieborów,Nieborów,rural municipality of Poland,103.29
Gmina Miękinia,"Miękinia, Lower Silesian Voivodeship",rural municipality of Poland,179.48
Gmina Osjaków,Osjaków,rural municipality of Poland,100.74
Gmina Mokrsko,Mokrsko,rural municipality of Poland,77.75
"Gmina Olesno, Lesser Poland Voivodeship","Olesno, Lesser Poland Voivodeship",rural municipality of Poland,77.77
Gmina Ozorków,Ozorków,rural municipality of Poland,95.17
Gmina Paradyż,"Paradyż, Opoczno County",rural municipality of Poland,81.56
Gmina Pleśna,"Pleśna, Lesser Poland Voivodeship",rural municipality of Poland,83.65
