col0,col1,col2,col3
2012 Junior Grand Prix Croatia Cup,2012-2013 Junior Grand Prix Final,2012–2013 figure skating season,junior
2012 Junior Grand Prix Sencila Bled Cup,2012-2013 Junior Grand Prix Final,2012–2013 figure skating season,junior
2012 Junior Grand Prix Bosphorus,2012-2013 Junior Grand Prix Final,2012–2013 figure skating season,junior
2012 Junior Grand Prix Austria,2012-2013 Junior Grand Prix Final,2012–2013 figure skating season,junior
2012 Junior Grand Prix Lake Placid,2012-2013 Junior Grand Prix Final,2012–2013 figure skating season,junior
2012 Junior Grand Prix Courchevel,2012-2013 Junior Grand Prix Final,2012–2013 figure skating season,junior
2011 Junior Grand Prix Tallinn Cup,2011-2012 Junior Grand Prix Final,2011–2012 figure skating season,junior
2011 Junior Grand Prix Trofeo W. Lombardi,2011-2012 Junior Grand Prix Final,2011–2012 figure skating season,junior
2011 Junior Grand Prix Cup of Austria,2011-2012 Junior Grand Prix Final,2011–2012 figure skating season,junior
2011 Junior Grand Prix Braşov Cup,2011-2012 Junior Grand Prix Final,2011–2012 figure skating season,junior
2011 Junior Grand Prix Baltic Cup,2011-2012 Junior Grand Prix Final,2011–2012 figure skating season,junior
2011 Junior Grand Prix Brisbane,2011-2012 Junior Grand Prix Final,2011–2012 figure skating season,junior
2011 Junior Grand Prix Volvo Cup,2011-2012 Junior Grand Prix Final,2011–2012 figure skating season,junior
