col0,col1,col2,col3
Ehemaliges Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
Ehemaliges Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
Ehemaliges Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
Ehemaliges Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
Ehemaliges Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
Ehemaliges Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
Ehemaliges Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
"Bauernhof, Ehemaliges Wohnstallhaus in Burgthann",aisled house,architectural heritage monument in Bavaria,Germany
Ehemaliges Wohnstallhaus in Burgthann,aisled house,architectural heritage monument in Bavaria,Germany
