col0,col1,col2,col3,col4
SDSS J113508.70+413754.1,555.7408,173.7863076849662,[SPD2011] 31770,-19.119
SDSS J093236.70+335213.0,302.2426,143.1529607063212,[SPD2011] 38596,-46.786
SDSS J013821.05+141700.2,390.503,24.5876894979406,[SPD2011] 40248,-24.455
SDSS J074834.69+372716.5,505.6634,117.1445418781206,[SPD2011] 39450,-25.77
SDSS J013828.60+141821.9,372.1207,24.6191607693247,[SPD2011] 40248,0.362
SDSS J142455.72+050901.9,1013.582,216.2321639245183,[SPD2011] 39762,2.792
ESO 409-12,99.08,1.1759458,[T2015] nest 200941,-2
MCG-05-01-016,120.57,359.5232988327142,[CHM2007] LDC 1599,-2
SDSS J155200.86+132225.8,431.3133,238.0035533746283,[SPD2011] 56467,-25.871
SDSS J095240.42+175950.0,679.4401,148.168455192397,[SPD2011] 54160,-9.296
SDSS J112904.22+000643.9,876.8084,172.2676045287605,[SPD2011] 51840,-0.128
SDSS J142952.75-000342.2,879.0436,217.4699089914051,[SPD2011] 20012,-13.151
SDSS J092036.41+574910.5,510.3603,140.151703106481,[SPD2011] 17594,-27.332
