col0,col1,col2,col3
V* V806 Ara,0.461,254.3256299642482,eclipsing binary star
TYC 1943-2305-1,0.2847,132.4070069002798,Beta Lyrae variable
TYC 1941-203-1,3.5566,127.0007256825433,Beta Lyrae variable
UCAC4 695-059972,1.0616,271.5535184209451,Beta Lyrae variable
2MASS J06515497-0605171,0.4592,102.9790900377872,Beta Lyrae variable
2MASS J06485993-0325275,0.7099,102.2497035194002,Beta Lyrae variable
2MASS J06535058-0524204,0.246,103.4607508590042,Beta Lyrae variable
2MASS J06483819-0513562,0.4731,102.1591449374777,Beta Lyrae variable
2MASS J06533463-0558279,0.2081,103.3943081659476,Beta Lyrae variable
2MASS J06525199-0429498,0.4509,103.2166567774196,Beta Lyrae variable
2MASS J06501378-0323200,0.4411,102.5574664919346,Beta Lyrae variable
