col0,col1,col2,col3,col4
Kigo,Qt,PC game,KDE Applications,"GNU General Public License, version 2.0 or later"
KGoldrunner,Qt,PC game,KDE Applications,"GNU General Public License, version 2.0"
KFourInLine,Qt,PC game,KDE Applications,"GNU General Public License, version 2.0"
KDiamond,Qt,PC game,KDE Applications,"GNU General Public License, version 2.0"
KBreakout,Qt,PC game,KDE Applications,"GNU General Public License, version 2.0"
KBlocks,Qt,PC game,KDEGames,"GNU General Public License, version 2.0"
KBlackbox,Qt,PC game,KDE Applications,"GNU General Public License, version 2.0"
Kapman,Qt,PC game,KDEGames,"GNU General Public License, version 2.0"
Kajongg,Qt,PC game,KDEGames,"GNU General Public License, version 2.0"
Granatier,Qt,PC game,KDEGames,"GNU General Public License, version 2.0"
KNetWalk,Qt,PC game,KDEGames,"GNU General Public License, version 2.0"
Konquest,Qt,PC game,KDE Applications,"GNU General Public License, version 2.0"
KTuberling,Qt,PC game,KDE Applications,GNU General Public License
KTeaTime,Qt,PC game,KDE Applications,"GNU General Public License, version 2.0 or later"
