col0,col1,col2,col3
Holt Collier National Wildlife Refuge,Holt Collier,IUCN category IV: Habitat/Species Management Area,"Darlove, Mississippi"
"J. N. ""Ding"" Darling National Wildlife Refuge",Jay Norwood Darling,IUCN category IV: Habitat/Species Management Area,Sanibel
Lee Metcalf National Wildlife Refuge,Lee Metcalf,IUCN category IV: Habitat/Species Management Area,Missoula
Guadalupe-Nipomo Dunes National Wildlife Refuge,Guadalupe-Nipomo Dunes,IUCN category IV: Habitat/Species Management Area,Guadalupe
Edwin B. Forsythe National Wildlife Refuge,Edwin B. Forsythe,IUCN category IV: Habitat/Species Management Area,Oceanville
Rachel Carson National Wildlife Refuge,Rachel Carson,IUCN category IV: Habitat/Species Management Area,Kennebunk
Wichita Mountains Wildlife Refuge,Wichita Mountains,IUCN category IV: Habitat/Species Management Area,Meers
Nisqually National Wildlife Refuge,"Billy Frank, Jr.",IUCN category IV: Habitat/Species Management Area,Lacey
Yukon Flats National Wildlife Refuge,Yukon Flats,IUCN category IV: Habitat/Species Management Area,Fort Yukon
Thacher Island National Wildlife Refuge,Thacher Island,IUCN category IV: Habitat/Species Management Area,Rockport
