col0,col1,col2,col3
Garton Slack settlement site,United Kingdom,scheduled monument,settlement site
Romano-British settlement site SW of Trumpington,United Kingdom,scheduled monument,settlement site
Settlement site at Boynton Hall,United Kingdom,scheduled monument,settlement site
Settlement site W of Town's End Farm,United Kingdom,scheduled monument,settlement site
Settlement site by Caudle Corner Farm,United Kingdom,scheduled monument,settlement site
Settlement site around St Botolph's Church,United Kingdom,scheduled monument,settlement site
Settlement site W of Hengrave mill,United Kingdom,scheduled monument,settlement site
Settlement site E of the Cedars,United Kingdom,scheduled monument,settlement site
Settlement site at Manor Farm,United Kingdom,scheduled monument,settlement site
Settlement site S of Claydon Cottages,United Kingdom,scheduled monument,settlement site
Settlement site,United Kingdom,scheduled monument,settlement site
Settlement site S of Tiled House Farm,United Kingdom,scheduled monument,settlement site
Settlement site,United Kingdom,scheduled monument,settlement site
