col0,col1,col2,col3
IRAS 16414+2349,0.5031,Hercules,23.7407484765375
ROTSE1 J164611.57+360937.9,0.1048,Hercules,36.1607132649228
ROTSE1 J171458.72+231344.2,0.1552,Hercules,23.2287909695598
ROTSE1 J155123.71+374231.8,16.969,Corona Borealis,37.7089552671675
[VRJ2006] M31V-J00451970+4139022,1.9838,Andromeda,41.6506141999986
[VRJ2006] M31V-J00452510+4142316,2.7302,Andromeda,41.7088193352964
[VRJ2006] M31V-J00451943+4139579,1.8729,Andromeda,41.6660977739204
[VRJ2006] M31V-J00451187+4138307,0.2685,Andromeda,41.6418909433608
V* V475 Ara,0.0687,Ara,-59.3299007724145
ROTSE1 J192424.21+451613.6,0.4629,Cygnus,45.2723697292233
ROTSE1 J193106.88+435256.5,0.2869,Cygnus,43.8823437064858
