col0,col1,col2,col3,col4
[T2015] nest 103035,-35.40641,J2000.0,199.60271,interacting galaxies
[T2015] nest 101595,34.5717,J2000.0,270.06436,interacting galaxies
[T2015] nest 201563,-52.19291,J2000.0,114.76355,interacting galaxies
[T2015] nest 111649,9.7518,J2000.0,172.2096,interacting galaxies
[T2015] nest 101547,-25.2565,J2000.0,165.7492,interacting galaxies
[T2015] nest 102839,-16.74286,J2000.0,216.08473,interacting galaxies
[T2015] nest 202244,-40.6164,J2000.0,358.4564,interacting galaxies
[T2015] nest 201966,40.21521,J2000.0,68.66161,interacting galaxies
[T2015] nest 202123,-57.03065,J2000.0,278.86606,interacting galaxies
[T2015] nest 103055,3.97208,J2000.0,257.18196,interacting galaxies
[T2015] nest 103087,55.64837,J2000.0,150.3489,interacting galaxies
[T2015] nest 102408,75.15529,J2000.0,91.45578,interacting galaxies
[T2015] nest 201904,-5.6217,J2000.0,12.5879,interacting galaxies
[T2015] nest 102568,59.4516,J2000.0,62.1726,interacting galaxies
[T2015] nest 202238,-19.78747,J2000.0,337.40124,interacting galaxies
