col0,col1,col2,col3
Zanzan Region,Ivory Coast,356,Savanes Region
Savanes Region,Ivory Coast,346,Worodougou
Vallée du Bandama Region,Ivory Coast,238,Worodougou
Haut-Sassandra,Ivory Coast,253,Worodougou
Marahoué Region,Ivory Coast,183,Worodougou
Dix-Huit Montagnes,Ivory Coast,240,Worodougou
Bafing Region,Ivory Coast,425,Worodougou
Denguélé Region,Ivory Coast,431,Worodougou
Savanes Region,Ivory Coast,346,Vallée du Bandama Region
Worodougou,Ivory Coast,327,Vallée du Bandama Region
Lacs Region,Ivory Coast,138,Vallée du Bandama Region
N'zi-Comoé,Ivory Coast,164,Vallée du Bandama Region
Marahoué Region,Ivory Coast,183,Vallée du Bandama Region
